Sno,Salary,Country,Race
414,145000,Canada,White
415,125000,Australia,Asian
416,120000,USA,White
417,110000,Australia,White
418,180000,Canada,Black
419,140000,Australia,Asian
420,170000,USA,African American
421,100000,Canada,Black
422,190000,Australia,Australian
423,155000,China,Chinese
424,130000,UK,Mixed
425,145000,China,White
426,115000,Australia,Australian
427,140000,China,Korean
428,185000,China,Korean
429,100000,China,Chinese
430,190000,USA,Asian
431,155000,Australia,Asian
432,130000,Australia,Australian
433,145000,Australia,Australian
434,125000,Canada,Black
435,120000,UK,Asian
436,110000,China,White
437,180000,USA,African American
438,140000,Canada,Asian
439,170000,China,Korean
440,100000,Australia,Asian
441,190000,USA,Asian
442,155000,China,Chinese
443,130000,USA,Hispanic
444,145000,USA,White
445,115000,China,Korean
446,140000,USA,African American
447,185000,China,Chinese
448,100000,UK,Mixed
449,190000,UK,Welsh
450,155000,Australia,Asian
451,130000,USA,Asian
452,145000,Australia,White
453,115000,China,Korean
454,140000,USA,Hispanic
455,185000,UK,Mixed
456,100000,Australia,Australian
457,190000,China,Chinese
458,155000,USA,Hispanic
459,130000,Canada,Asian
460,145000,Australia,Asian
461,125000,Australia,Asian
462,120000,Australia,Australian
463,110000,Australia,Asian
464,180000,USA,Asian
465,140000,USA,Hispanic
466,170000,Canada,White
467,100000,UK,Welsh
468,190000,China,Korean
469,155000,USA,Asian
470,130000,UK,Mixed
471,145000,Australia,White
472,115000,Australia,Asian
473,140000,China,Korean
474,185000,China,Korean
475,100000,Canada,Asian
476,190000,UK,Mixed
477,155000,UK,Welsh
478,130000,UK,Asian
479,145000,China,Chinese
480,115000,UK,Welsh
481,140000,China,Chinese
482,185000,China,White
483,100000,UK,White
484,190000,UK,Mixed
485,155000,China,Chinese
486,130000,Canada,White
487,145000,USA,White
488,115000,UK,Mixed
489,140000,USA,White
490,185000,Australia,Asian
491,100000,Australia,Asian
492,190000,Canada,Asian
493,155000,Australia,Australian
494,130000,Canada,Asian
495,145000,China,Chinese
496,115000,Australia,White
497,140000,China,Chinese
498,185000,Canada,White
499,100000,China,Korean
500,190000,UK,Mixed
501,155000,USA,White
502,130000,Australia,White
503,145000,USA,Hispanic
504,115000,UK,Welsh
505,140000,Canada,Asian
506,185000,Australia,Australian
507,130000,Australia,Australian
508,180000,UK,Asian
509,190000,Australia,White
510,150000,UK,Welsh
511,90000,China,Chinese
512,195000,UK,Asian
513,160000,China,White
514,198000,USA,African American
515,110000,USA,Hispanic
516,185000,China,Korean
517,140000,UK,Mixed
518,196000,China,Chinese
519,95000,China,Korean
520,193000,Australia,White
521,175000,Australia,White
522,160000,Australia,White
523,130000,Canada,Black
524,180000,China,Korean
525,160000,USA,African American
526,198000,UK,Mixed
527,90000,China,White
528,185000,Canada,White
529,140000,Canada,Black
530,196000,Canada,White
531,110000,China,Chinese
532,180000,USA,White
533,190000,Australia,White
534,150000,China,White
535,195000,China,Korean
536,160000,Australia,Asian
537,198000,UK,White
538,130000,Australia,White
539,185000,USA,African American
540,140000,UK,Welsh
541,196000,China,Korean
542,110000,China,Korean
543,190000,UK,Asian
544,180000,USA,White
545,160000,USA,African American
546,198000,USA,White
547,90000,USA,African American
548,195000,Australia,White
549,160000,Australia,Asian
550,150000,UK,White
551,130000,Canada,White
552,180000,Canada,White
553,190000,China,White
554,198000,UK,White
555,110000,Australia,White
556,185000,USA,Asian
557,140000,China,Chinese
558,196000,UK,Mixed
559,195000,Canada,Asian
560,160000,China,White
561,130000,Australia,Australian
562,180000,China,White
563,190000,Australia,Australian
564,198000,Australia,Australian
565,90000,China,White
566,140000,Australia,Asian
567,110000,Australia,White
568,185000,USA,Asian
569,195000,UK,Asian
570,160000,Canada,Asian
571,130000,Canada,White
572,180000,USA,Hispanic
573,190000,Australia,Australian
574,198000,Canada,Asian
575,90000,UK,Welsh
576,140000,USA,Hispanic
577,110000,USA,African American
578,185000,Australia,Asian
579,195000,China,Chinese
580,160000,Canada,Asian
581,130000,UK,Asian
582,180000,Canada,Asian
583,190000,China,White
584,198000,Canada,White
585,90000,China,Korean
586,140000,China,Korean
587,110000,USA,Hispanic
588,185000,USA,Hispanic
589,195000,UK,Asian
590,160000,Australia,Asian
591,130000,Australia,Australian
592,180000,Australia,Asian
593,190000,Australia,Asian
594,198000,China,White
595,90000,Canada,White
596,140000,USA,White
597,125000,UK,White
598,175000,Canada,Asian
599,190000,UK,White
600,150000,UK,Welsh
601,95000,UK,Mixed
602,195000,Canada,White
603,160000,USA,African American
604,198000,Australia,White
605,130000,Canada,Asian
606,185000,China,Chinese
607,140000,Australia,White
608,196000,UK,Asian
609,90000,Canada,Asian
610,193000,Canada,Black
611,170000,USA,Hispanic
612,160000,China,White
613,135000,Canada,Asian
614,180000,Canada,White
615,160000,UK,Mixed
616,198000,Canada,Black
617,90000,Australia,White
618,185000,China,Korean
619,140000,Australia,Australian
620,196000,USA,Asian
621,115000,China,Korean
622,180000,Canada,Asian
623,190000,China,Korean
624,150000,USA,African American
625,195000,UK,Asian
626,160000,UK,Asian
627,198000,UK,Mixed
628,130000,Canada,Asian
629,185000,UK,Welsh
630,140000,Canada,White
631,196000,China,Korean
632,110000,Australia,Asian
633,190000,Canada,Black
634,180000,China,White
635,160000,China,Chinese
636,198000,UK,Welsh
637,90000,Canada,Asian
638,195000,Australia,Asian
639,160000,Canada,Black
640,150000,USA,Asian
641,130000,Canada,Black
642,180000,Canada,Black
643,190000,UK,White
644,198000,USA,African American
645,110000,UK,Welsh
646,185000,UK,White
647,140000,Canada,White
648,196000,UK,Welsh
649,195000,China,Chinese
650,160000,Canada,Black
651,130000,China,Korean
652,180000,Canada,Black
653,190000,Canada,White
654,198000,UK,Asian
655,90000,China,Korean
656,140000,Canada,Black
657,110000,UK,White
658,185000,Australia,Asian
659,195000,USA,Hispanic
660,160000,Australia,Australian
661,130000,Australia,Asian
662,180000,Canada,Asian
663,190000,UK,Asian
664,198000,UK,Welsh
665,90000,Canada,Black
666,140000,Canada,Black
667,110000,Australia,White
668,185000,USA,White
669,195000,China,Korean
670,160000,Canada,White
671,130000,China,White
672,180000,Australia,Asian
673,190000,USA,African American
674,198000,USA,Hispanic
675,90000,Australia,White
676,140000,USA,Asian
677,90000,USA,White
678,150000,Canada,Asian
679,190000,China,White
680,125000,Australia,Australian
681,110000,China,Chinese
682,180000,USA,Hispanic
683,160000,UK,Asian
684,195000,China,Korean
685,130000,UK,Welsh
686,170000,Canada,White
687,140000,USA,Asian
688,196000,Australia,Australian
689,92000,Canada,Asian
690,195000,Australia,Australian
691,170000,UK,Mixed
692,160000,Canada,Asian
693,135000,UK,White
694,180000,China,Korean
695,165000,Canada,Asian
696,198000,Australia,Australian
697,95000,UK,Asian
698,185000,USA,African American
699,140000,USA,African American
700,196000,Australia,Australian
701,115000,USA,Asian
702,180000,Canada,White
703,190000,Canada,Asian
704,150000,USA,Asian
705,195000,USA,Asian
706,160000,Australia,White
707,198000,China,Korean
708,130000,Australia,Asian
709,185000,UK,Welsh
710,140000,Australia,Asian
711,196000,Canada,Asian
712,110000,Canada,White
713,190000,Australia,Asian
714,180000,USA,Hispanic
715,160000,UK,White
716,198000,UK,Mixed
717,90000,China,White
718,195000,USA,Hispanic
719,160000,Canada,White
720,150000,China,Korean
721,130000,USA,Asian
722,180000,China,Korean
723,190000,USA,Hispanic
724,198000,USA,Hispanic
725,110000,Australia,White
726,185000,Canada,Asian
727,140000,USA,White
728,196000,USA,Asian
729,195000,Canada,Asian
730,160000,UK,Mixed
731,130000,Australia,Australian
732,180000,Australia,Asian
733,190000,UK,Asian
734,198000,USA,Asian
735,90000,Australia,White
736,140000,China,Chinese
737,110000,Australia,White
738,185000,Canada,Black
739,195000,Canada,Black
740,160000,Canada,Asian
741,130000,USA,Asian
742,180000,Australia,Asian
743,190000,USA,Asian
744,198000,USA,White
745,90000,Australia,Asian
746,140000,UK,Welsh
747,110000,Australia,Australian
748,185000,UK,Mixed
749,195000,UK,Welsh
750,160000,China,Korean
751,130000,China,Chinese
752,180000,Australia,Asian
753,190000,UK,White
754,198000,China,Korean
755,90000,China,Chinese
756,140000,Canada,Asian
757,110000,Canada,White
758,185000,Canada,Asian
759,195000,USA,White
760,160000,UK,Asian
761,130000,Canada,Asian
762,180000,Australia,White
763,190000,UK,Asian
764,198000,China,Chinese
765,90000,China,White
766,140000,China,Korean
767,110000,Australia,Asian
768,185000,China,Chinese
769,195000,Canada,White
770,160000,USA,White
771,130000,Canada,Black
772,180000,Canada,Black
773,190000,Canada,White
774,198000,USA,White
775,90000,Australia,White
776,140000,China,Chinese
777,110000,USA,Asian
778,185000,UK,Asian
779,195000,USA,Hispanic
780,160000,USA,African American
781,130000,Australia,Australian
782,180000,USA,African American
783,190000,Australia,Asian
784,198000,UK,White
785,90000,UK,White
786,140000,China,Korean
787,110000,UK,Welsh
788,185000,Australia,Australian
789,195000,Australia,Australian
790,160000,Australia,Asian
791,130000,USA,White
792,180000,USA,African American
793,190000,UK,Asian
794,198000,Canada,Black
795,90000,China,Chinese
796,140000,Canada,White
797,110000,USA,Asian
798,185000,UK,Welsh
799,195000,Canada,White
800,160000,UK,Mixed
801,130000,China,White
802,180000,Australia,Australian
803,190000,UK,Mixed
804,198000,USA,Asian
805,90000,China,Chinese
806,140000,UK,Mixed
807,110000,USA,African American
808,185000,China,Korean
809,195000,USA,Hispanic
810,160000,UK,Welsh
811,135000,Australia,Asian
812,190000,China,White
813,180000,UK,Welsh
814,160000,UK,Asian
815,95000,Australia,White
816,196000,Australia,Australian
817,140000,UK,Mixed
818,130000,USA,African American
819,185000,UK,Mixed
820,195000,USA,White
821,160000,UK,White
822,130000,Canada,Asian
823,185000,Australia,Asian
824,150000,Canada,Black
825,90000,UK,Asian
826,198000,USA,African American
827,115000,USA,White
828,165000,China,Korean
829,130000,USA,Asian
830,180000,Canada,Asian
831,190000,UK,Asian
832,198000,USA,Hispanic
833,140000,China,White
834,180000,Australia,Asian
835,160000,China,White
836,92000,China,White
837,160000,China,White
838,130000,Australia,Australian
839,190000,China,White
840,198000,Australia,Asian
841,110000,USA,Hispanic
842,185000,UK,White
843,140000,China,Chinese
844,196000,UK,Asian
845,195000,Australia,Asian
846,160000,China,Korean
847,130000,China,Korean
848,180000,UK,Asian
849,190000,China,Chinese
850,198000,China,Chinese
851,90000,China,Korean
852,140000,USA,African American
853,110000,USA,Asian
854,185000,UK,Mixed
855,195000,UK,Mixed
856,160000,USA,Asian
857,130000,UK,White
858,180000,UK,White
859,190000,Australia,White
860,198000,China,Chinese
861,90000,USA,Hispanic
862,140000,Australia,Asian
863,110000,UK,Welsh
864,185000,UK,White
865,195000,Australia,Asian
866,160000,Australia,White
867,130000,China,White
868,180000,Australia,Asian
869,190000,Canada,White
870,198000,USA,African American
871,90000,China,Chinese
872,140000,USA,Hispanic
873,110000,UK,Asian
874,185000,Canada,Asian
875,195000,Australia,White
876,160000,China,Korean
877,130000,UK,Welsh
878,180000,USA,White
879,190000,UK,Asian
880,198000,China,White
881,90000,China,White
882,140000,Canada,Asian
883,110000,Canada,Black
884,185000,Canada,Asian
885,195000,Canada,White
886,160000,USA,White
887,130000,Australia,Australian
888,180000,Australia,Australian
889,190000,USA,White
890,198000,China,Chinese
891,90000,Australia,Asian
892,140000,China,Chinese
893,110000,China,Chinese
894,185000,UK,Mixed
895,195000,USA,White
896,160000,UK,Mixed
897,130000,UK,Asian
898,180000,Australia,White
899,190000,China,Korean
900,198000,USA,Hispanic
901,90000,UK,Mixed
902,140000,Australia,White
903,110000,Canada,Asian
904,185000,Canada,Asian
905,195000,USA,African American
906,160000,USA,Asian
907,130000,China,White
908,180000,Canada,White
909,190000,USA,Hispanic
910,198000,Canada,Black
911,90000,Australia,Asian
912,140000,UK,White
913,110000,Australia,White
914,185000,Canada,Asian
915,195000,China,Korean
916,160000,Canada,Asian
917,130000,Canada,White
918,180000,Canada,Asian
919,190000,Australia,Australian
920,198000,Canada,Black
921,90000,Canada,White
922,140000,UK,Welsh
923,110000,Australia,Asian
924,185000,UK,Asian
925,195000,UK,Welsh
926,160000,Canada,Black
927,130000,Australia,Australian
928,180000,USA,Hispanic
929,190000,Canada,Asian
930,198000,Canada,White
931,90000,China,Korean
932,140000,UK,Mixed
933,110000,China,White
934,185000,USA,Asian
935,195000,UK,Asian
936,160000,UK,Asian
937,130000,Canada,Black
938,180000,USA,White
939,190000,USA,White
940,198000,Canada,White
941,90000,Australia,Asian
942,140000,USA,Hispanic
943,110000,UK,Mixed
944,185000,USA,White
945,135000,USA,Hispanic
946,180000,Canada,Asian
947,195000,Australia,White
948,165000,USA,Asian
949,198000,USA,White
950,150000,USA,Hispanic
951,162000,Australia,Asian
952,175000,China,Korean
953,197000,USA,White
954,142000,USA,White
955,182000,Australia,Australian
956,185000,China,Korean
957,170000,Australia,Asian
958,160000,Australia,Asian
959,180000,Australia,Australian
960,150000,USA,Asian
961,140000,Canada,White
962,100000,China,Chinese
963,190000,UK,Mixed
964,160000,China,White
965,120000,UK,Asian
966,170000,USA,Asian
967,190000,Canada,White
968,150000,Australia,Australian
969,120000,UK,Mixed
970,170000,Canada,Black
971,130000,China,Korean
972,95000,Canada,Black
973,195000,USA,White
974,100000,USA,Asian
975,150000,UK,Mixed
976,120000,Australia,White
977,150000,USA,White
978,180000,Australia,White
979,195000,Australia,Australian
980,160000,UK,Mixed
981,170000,Canada,Black
982,140000,China,White
983,95000,USA,African American
984,150000,Canada,Asian
985,120000,USA,White
986,180000,USA,White
987,195000,Australia,Australian
988,100000,China,White
989,170000,UK,Asian
990,160000,USA,White
991,190000,USA,White
992,190000,China,White
993,150000,Canada,White
994,120000,UK,White
995,150000,Canada,White
996,180000,China,White
997,195000,USA,White
998,95000,Canada,Asian
999,160000,Canada,Asian
1000,100000,USA,White
1001,170000,UK,White
1002,190000,Australia,Asian
1003,150000,Canada,White
1004,120000,Australia,White
1005,150000,UK,White
1006,180000,Australia,White
1007,195000,China,Korean
1008,95000,Canada,Asian
1009,160000,Australia,Australian
1010,100000,USA,African American
1011,170000,UK,White
1012,190000,China,Chinese
1013,150000,Canada,White
1014,120000,UK,Welsh
1015,150000,Australia,White
1016,180000,China,Korean
1017,195000,China,White
1018,95000,Australia,White
1019,160000,UK,Mixed
1020,100000,UK,Welsh
1021,170000,Canada,White
1022,190000,UK,Asian
1023,150000,UK,Asian
1024,120000,China,Chinese
1025,150000,UK,Welsh
1026,180000,Australia,Australian
1027,195000,Canada,Black
1028,95000,UK,White
1029,160000,China,Korean
1030,100000,USA,White
1031,170000,Canada,Asian
1032,190000,USA,Hispanic
1033,150000,Canada,Asian
1034,120000,Australia,White
1035,150000,USA,White
1036,180000,USA,Asian
1037,195000,Australia,Asian
1038,95000,Canada,Asian
1039,160000,Canada,White
1040,100000,China,White
1041,170000,Australia,Australian
1042,190000,USA,White
1043,150000,Canada,Black
1044,120000,China,Chinese
1045,150000,Canada,Asian
1046,180000,Australia,Asian
1047,195000,UK,White
1048,95000,Canada,Black
1049,160000,USA,Asian
1050,100000,China,Chinese
1051,170000,Canada,Black
1052,190000,Canada,Black
1053,150000,Australia,Australian
1054,120000,UK,Asian
1055,150000,UK,Welsh
1056,180000,UK,Asian
1057,195000,Australia,Australian
1058,95000,Canada,White
1059,160000,Canada,Asian
1060,100000,Canada,Asian
1061,170000,Australia,Asian
1062,190000,USA,Asian
1063,150000,USA,Hispanic
1064,120000,UK,Welsh
1065,150000,Australia,Asian
1066,180000,USA,Asian
1067,195000,China,White
1068,95000,USA,White
1069,160000,Australia,Asian
1070,100000,Australia,Asian
1071,170000,China,Chinese
1072,190000,Canada,White
1073,150000,Canada,White
1074,120000,UK,White
1075,150000,Canada,Black
1076,180000,USA,Hispanic
1077,195000,USA,African American
1078,95000,China,White
1079,160000,Canada,Black
1080,100000,Canada,Asian
1081,170000,USA,African American
1082,190000,UK,White
1083,150000,Canada,Black
1084,120000,UK,Welsh
1085,150000,Australia,Australian
1086,180000,Australia,Australian
1087,195000,China,White
1088,95000,Canada,Asian
1089,160000,USA,Asian
1090,100000,China,White
1091,170000,Australia,Australian
1092,180000,Canada,Black
1093,120000,Canada,White
1094,195000,Canada,White
1095,160000,Canada,White
1096,100000,USA,Asian
1097,190000,China,Korean
1098,170000,Canada,Black
1099,185000,China,Korean
1100,130000,Australia,Australian
1101,190000,UK,Welsh
1102,150000,China,Chinese
1103,150000,USA,Asian
1104,195000,USA,Hispanic
1105,110000,UK,Asian
1106,180000,China,Korean
1107,185000,Australia,White
1108,130000,China,Chinese
1109,190000,USA,Hispanic
1110,155000,Australia,Australian
1111,195000,UK,White
1112,90000,UK,Asian
1113,185000,USA,Hispanic
1114,120000,UK,White
1115,180000,Australia,Asian
1116,100000,Canada,Black
1117,195000,Australia,Australian
1118,160000,Canada,White
1119,125000,USA,Asian
1120,170000,UK,Asian
1121,185000,China,Chinese
1122,130000,Canada,White
1123,190000,China,White
1124,150000,UK,Asian
1125,150000,UK,Asian
1126,195000,China,Chinese
1127,110000,Australia,Australian
1128,180000,USA,Hispanic
1129,185000,China,White
1130,130000,USA,Asian
1131,190000,China,Korean
1132,155000,China,Korean
1133,195000,UK,White
1134,90000,USA,Asian
1135,185000,Australia,Australian
1136,120000,Australia,White
1137,180000,China,Korean
1138,100000,USA,White
1139,195000,Australia,Asian
1140,160000,Australia,White
1141,125000,Australia,White
1142,170000,Australia,White
1143,185000,Australia,Australian
1144,130000,Australia,Asian
1145,190000,UK,Mixed
1146,150000,Canada,White
1147,150000,China,Korean
1148,195000,Australia,White
1149,110000,Australia,White
1150,180000,China,Chinese
1151,185000,UK,White
1152,130000,China,Korean
1153,190000,China,Korean
1154,155000,China,Korean
1155,195000,Canada,Asian
1156,90000,Australia,White
1157,185000,Canada,Asian
1158,120000,Canada,Black
1159,180000,UK,Asian
1160,100000,UK,Asian
1161,195000,Australia,White
1162,160000,Canada,White
1163,125000,China,Korean
1164,170000,Canada,White
1165,185000,USA,Hispanic
1166,130000,Australia,Asian
1167,190000,China,White
1168,150000,USA,Asian
1169,150000,Canada,White
